HOME_TEAM_ID,predictions
Thunder,1
Pelicans,1
Raptors,1
Trail Blazers,1
Clippers,1
Celtics,1
Kings,1
Heat,1
Bucks,1
Jazz,1
Suns,1
Lakers,1
Wizards,1
Mavericks,1
Grizzlies,1
76ers,1
Spurs,1
Magic,1
Kings,1
Rockets,1
76ers,1
Nuggets,1
Thunder,1
Celtics,1
Lakers,1
Magic,1
Suns,1
Jazz,1
Grizzlies,1
Nets,1
Rockets,1
Clippers,1
Pacers,1
Raptors,1
Trail Blazers,1
Clippers,1
Celtics,1
Raptors,1
Nuggets,1
Bucks,1
Lakers,1
Pacers,1
Rockets,1
Clippers,1
Celtics,1
Nuggets,1
Raptors,1
Lakers,1
Bucks,1
Rockets,1
Pacers,1
Mavericks,1
76ers,1
